short_name,long_name,player_positions,overall,position,nationality
A. Lebeau,Adrien Lebeau,"CAM, LM, RM, CM",67,SUB,France
J. Beyer,Louis Jordan Beyer,CB,74,RES,Germany
Gustavo Garcia,Gustavo Garcia dos Santos,"RB, RM",72,SUB,Brazil
A. Romagnoli,Alessio Romagnoli,CB,82,LCB,Italy
K. Bielik,Krystian Bielik,"CB, CDM, CM",72,SUB,Poland
Rochinha,Diogo Filipe Costa Rocha,"LM, LW",71,RES,Portugal
K. Ouattara,Kassoum Ouattara,"LB, LM",72,SUB,France
M. Adeline,Martin Gabriel Belaïd Adeline,"CM, CAM",65,SUB,France
Ranteiro Alves,Ranteiro César Alves Catarino,"CAM, CM",68,SUB,Brazil
Ivan Cavaleiro,Ivan Ricardo Neves Abreu Cavaleiro,"LM, CAM, LW",67,SUB,Portugal
S. McLaughlin,Stephen Antony McLaughlin,"LB, LM",63,SUB,Republic of Ireland
F. Hormazábal,Fabián Marcelo Hormazábal Berríos,"RB, RM",69,RM,Chile
F. Ottosson,Karl Filip Ottosson,"CDM, CM",67,CDM,Sweden
E. Mejía,Eddy Joel Mejía Montero,"LB, LW, LM",68,LB,Ecuador
M. Robin,Milan Robin,"RM, CM, RW",65,SUB,France
J. Dehm,Jannik Dehm,"RB, RM, LB",67,SUB,Germany
R. Ríos,Rubén Darío Ríos,"CM, LM, CDM",66,RES,Argentina
O. Sonne,Oliver Sonne Christensen,"RB, LB, CM, RM",70,SUB,Peru
D. Imray,Daniel Edward Peter Imray,"RB, RM",63,SUB,England
P. Olkowski,Paweł Mirosław Olkowski,"RB, RM",65,SUB,Poland
F. Diabaté,Fousseni Diabaté,"LM, LW, RM",69,SUB,Mali
U. Akyol,Ufuk Akyol,"CDM, CM",66,SUB,Türkiye
J. Maja,Joshua Erowoli Orisunmihare Oluwaseun Maja,ST,72,SUB,Nigeria
Calero,Fernando Calero Villa,"CB, CDM",73,RCB,Spain
D. Campbell,Dean Graeme Campbell,"CDM, CM",63,LCM,Scotland
S. Kowalczyk,Sebastian Kowalczyk,"RM, CAM, ST, RW",68,SUB,Poland
J. Glesnes,Jakob Glesnes,CB,73,RCB,Norway
H. Al Qahtani,Hussain Massoud Al Monassar Al Qahtaniحسين مسعود آل منصر القحطاني,"CM, CDM, CAM",66,SUB,Saudi Arabia
Álvaro Martínez,Álvaro Martínez Navarro,"LB, LM",66,SUB,Spain
F. Viñas,Federico Sebastián Viñas Barboza,ST,72,SUB,Uruguay
N. Cordero,Nicolás Fernando Cordero,ST,69,RES,Argentina
C. Connolly,Callum Alexander Connolly,"CB, RB, CDM",65,CB,England
G. May,Guillermo Luis May Bartesaghi,"ST, CAM, RM",68,LS,Uruguay
D. John,Declan Christopher John,"LB, RB, LM",64,LB,Wales
F. Paredes,Franco Ezequiel Paredes,"CB, RB, RM",68,SUB,Argentina
J. Greaves,Jacob John Greaves,CB,74,LCB,England
R. Boboc,Radu Ștefăniță Boboc,"RB, LB, RM",68,SUB,Romania
Jesús Rodríguez,Jesús Rodriguez Caraballo,"LM, RM, LW",74,LM,Spain
T. Guidara,Tomás Ezequiel Guidara,"RB, RM",69,RB,Argentina
T. Santos,Thomas Santos Christensen,"RW, RB, RM",65,RB,Denmark
Lim Min Hyuk,Min-hyeok Lim임민혁 林旼赫,"CM, LW",65,SUB,Korea Republic
D. Genreau,Denis Genreau,"CM, CAM",67,SUB,Australia
E. Ramírez,Eric Iván Jesús Ramírez,"ST, CAM, RM, CM",68,RES,Argentina
H. Zuck,Hendrick Zuck,"LB, LM",66,RES,Germany
I. Schor,Ignacio Schor,"RM, LM, ST, RW",70,SUB,Argentina
K. Dembélé,Karamoko Kader Dembélé,"RM, CAM, CM, RW",70,RM,England
A. Seidu,Alidu Seidu,"CB, RB, RM",74,SUB,Ghana
Josué da Feira,Josué Durval da Feira Cunha,ST,71,ST,Brazil
F. Roncaglia,Facundo Sebastián Roncaglia,"CB, RB",69,RCB,Argentina
D. Jones,Derrick Jones Amaniampong,"CDM, CM, CB",65,SUB,United States
V. Costache,Valentin Ionuț Costache,"ST, RM, LM, CAM",67,RM,Romania
S. Diomandé,Sinaly Diomandé,CB,73,RCB,Côte d'Ivoire
R. Castillo,Rodrigo Castillo,"ST, CAM",72,ST,Argentina
Kim Kang Guk,Kang-gook Kim김강국,"CM, CDM",67,SUB,Korea Republic
M. Sarr,Malang Mamadou William Sarr,CB,73,CB,France
K. Zedadka,Karim Zedadkaكريم زيادادكا,"LB, LM, LW",64,RES,France
R. Cannon,Reginald Jacob Cannon,"RB, CB, RM",71,RB,United States
M. Choinière,Mathieu Choinière,"CM, LM, LW",67,SUB,Canada
D. Jefferies,Dominic William Jefferies,"LM, LB, CM",64,SUB,Wales
Magunazelaia,Jon Magunazelaia Argoitia,"CAM, LM, RM, ST",66,CAM,Spain
D. Gray,Demarai Ramelle Gray,"LM, RM, LW",72,LM,Jamaica
J. Gastien,Johan Gastien,"CDM, CM",69,RDM,France
J. Brophy,James Robert Brophy,"CM, LM, RM, CAM",63,RM,England
Hugo Novoa,Hugo Novoa Ramos,"RM, RB, RW",67,RES,Spain
S. Coates,Sebastián Coates Nión,CB,79,RCB,Uruguay
V. Kušej,Vasil Kušej,"LW, RW, CAM, LM",74,LAM,Czechia
M. Papela,Matondo-Merveille Papela,"CM, CDM",67,SUB,Germany
I. Biceanu,Ionuț Ciprian Biceanu,"CM, CDM",63,SUB,Romania
P. Bonilla,Pablo Alejandro Bonilla Serrada,"RB, RM",65,SUB,Venezuela
O. Holm,Odin Thiago Holm,"CM, CDM",64,RES,Norway
A. Valverde,Claudio Agustin Valverde Molaro,"CM, CDM",64,RES,Argentina
T. Bulut,Taylan Bulut,"RB, RM",67,RES,Germany
M. Yeo,Moussa Kounfolo Yeo,"LW, CAM, LM",68,SUB,Mali
M. Finkgräfe,Max Finkgräfe,"LB, LM",69,SUB,Germany
M. Dembélé,Moussa Dembélé,ST,70,RES,France
M. Brandt,Max Julian Brandt,"CM, CAM, CDM",68,LCM,Germany
F. Roggow,Franz Roggow,"CDM, CM",66,SUB,Germany
Tiago Djaló,Tiago Emanuel Embaló Djaló,CB,75,SUB,Portugal
M. Peersman,Marvin Peersman,"CB, LB, LM",68,LB,Belgium
G. Nilsson,Håkan Gustaf Nilsson,ST,75,RES,Sweden
L. Traoré,Lassina Chamste Soudine Franck Traoré,"ST, LM, RW",71,SUB,Burkina Faso
J. Consbruch,Jomaine Ellay Consbruch,"CM, CAM, RM",67,RCM,Germany
C. Olmedo,César Ramón Olmedo Alcaraz,"RB, RM",67,SUB,Paraguay
Fran Pérez,Francisco Pérez Martínez,"RM, LM, RW",72,SUB,Spain
T. Fornah,Tyrese Momodu Fornah,"CM, CDM, CAM",63,LAM,Sierra Leone
B. Manu,Braydon Marvin Manu,"RM, ST, RW",67,RES,Ghana
M. Rakoczy,Michał Rakoczy,"CAM, LW, LM, CM",65,SUB,Poland
T. Battistella,Thomas Battistella,"CM, CDM",64,SUB,Italy
L. Kehl,Lars Kehl,"ST, CAM, CM",67,RS,Germany
S. Benchamma,Samy Benchamma,"CDM, CM",63,SUB,France
I. Stoica,Ianis Ilie Stoica,"LM, ST, LW",70,SUB,Romania
K. Faber,Konrad Faber,"RB, RM",66,RB,Germany
M. Multhaup,Maurice Michael Multhaup,"RW, CAM, RM",66,SUB,Germany
O. Lewicki,Carl Oscar Johan Lewicki,"CDM, CM, CB",66,SUB,Sweden
T. Henry,Thomas Henry,ST,71,ST,France
A. Ajdini,Alban Ajdini,"ST, LM, LW",69,LS,Kosovo
M. Carabajal,Mateo Carabajal,CB,70,RCB,Argentina
A. Meli,Juan Andrés Meli,"LB, LM",69,LB,Argentina
C. Barrios,Cristian Darío Barrios Puertas,"LM, RM, CM, LW",72,RM,Colombia
M. Lovera,Maximiliano Alberto Lovera,"LM, RM, CAM, LW",72,SUB,Argentina
Carracedo,Cristian Carracedo García,"RW, RM",72,RW,Spain
E. Papa,Enriko Papa,"CDM, CM",64,SUB,Albania
Ontiveros,Javier Ontiveros Parra,"LM, RM, ST, LW",73,LM,Spain
K. Behrens,Kevin Behrens,ST,71,ST,Germany
J. Siebatcheu,Theoson-Jordan Siebatcheu,ST,73,RES,United States
F. Ricca,Federico Ricca Rostagnol,"CB, LB",69,SUB,Uruguay
J. Fleck,John Alexander Fleck,"CM, CDM",63,SUB,Scotland
A. Velasco,Andy René Velasco García,CB,63,SUB,Ecuador
Diego Rosa,Diego Gabriel Silva Rosa,"CM, CDM",67,RES,Brazil
D. Bakker,Danny Bakker,"CB, CDM",67,LCB,Netherlands
T. Coulibaly,Tanguy Coulibaly,"LM, RM, ST, LW",71,SUB,France
Gabriel Pereira,Gabriel Pereira Magalhães dos Santos,CB,74,RCB,Brazil
J. Balza,José Manuel Balza Liscano,"ST, CAM",67,CAM,Venezuela
G. Panico,Giuseppe Antonio Panico,"CAM, ST, CM",68,SUB,Italy
Xu Haoyang,Xu Haoyang徐皓阳,"LB, CM, RM, LM",64,SUB,China PR
L. Lingman,Lucas Lingman,"CM, CDM",66,RDM,Finland
M. Schröter,Morris Schröter,"RM, RW",64,RES,Germany
K. Morgan,Kieran Morgan,"CM, CAM",66,SUB,England
N. Veratschnig,Nikolas Konrad Veratschnig,"RB, RM",69,SUB,Austria
O. Kossounou,Odilon Kossounou Kouakou,CB,80,SUB,Côte d'Ivoire
L. Shaw,Liam Darren Shaw,"CM, CDM",64,SUB,England
S. Christiansen,Sander Johan Christiansen,"CDM, LB, RB, CM",66,RDM,Norway
T. Neugebauer,Tomasz Neugebauer,"CM, CDM, CAM",65,SUB,Poland
Ahn Tae Hyun,Tae-hyun An안태현,"RB, LB, LM, RM",67,RES,Korea Republic
Joan Sastre,Joan Sastre Vanrell,"RB, LB, RM",71,RB,Spain
K. Varas,Kevin Varas,"CAM, LM, RM, CM",67,RAM,Ecuador
L. Tchaouna,Loum Tchaouna,"RM, ST, RW",69,SUB,France
M. Colin,Maxime Jean-Yves Colin,RB,69,SUB,France
R. Neustädter,Roman NeustädterНойштедтер Роман Петрович,"CB, CDM, CM",69,LCB,Russia
V. Tsukanov,Viktor TsukanovЦуканов Віктор Михайлович,"CM, CAM, RM",65,RES,Ukraine
Ibañez,Roger Ibañez da Silva,CB,82,LCB,Brazil
B. Dieng,Cheikh Ahmadou Bamba Mbacké Dieng,ST,71,SUB,Senegal
A. Ali,Almoez Ali Zainalabedeen Mohamed Abdullaالمعز علي,"ST, RW",74,,Qatar
L. Ríos,Lautaro Nicolás Ríos,CM,67,LCM,Argentina
S. Guerra,Saulo Henry Guerra Pérez,"RM, CM, LM, RW",64,LCM,Bolivia
M. Bordeianu,Mihai Cătălin Bordeianu,"CDM, CM",66,LDM,Romania
M. Diawara,Mahamadou Diawara,"CM, CDM",69,RES,France
I. Tabatadze,Iuri Tabatadze,"RM, RB, RW",66,SUB,Georgia
F. Michel,Falko Michel,"LM, CM, CAM, LW",66,SUB,Germany
R. Khedira,Rani Khedira,"CDM, CM",75,CDM,Germany
Jeong Woo Yeong,Woo-yeong Jeong정우영,"CAM, ST, CM",73,SUB,Korea Republic
E. Francis,Edward Albert Francis,"CM, CB, CDM",64,SUB,England
L. Ulrich,Laurin Ulrich,"CM, CAM",65,RCM,Germany
Matchoi Djaló,Matchoi Bobó Djaló,"CAM, CM",66,SUB,Portugal
Z. Ariss,Zakaria Ariss,"LB, LM",69,LB,France
G. Pezzella,Germán Alejo Pezzella,CB,76,SUB,Argentina
S. Niakaté,Sikou Niakaté,CB,76,SUB,Mali
F. Ayé,Florian Ayé,ST,70,RES,France
Y. Ramadani,Ylber Latif Ramadani,"CDM, CM",70,CM,Albania
L. Carole,Lionel Jules Carole,LB,68,LB,France
C. Bischoff,Clement Mutahi Bischoff,"LM, LB, LW",68,RES,Denmark
Imanol,Imanol García de Albéniz Crecente,"LB, LM",70,LB,Spain
C. Sibbald,Craig Alexander Sibbald,"CM, CDM",63,SUB,Scotland
A. Lotti,Augusto Diego Lotti,"ST, CAM, CM",71,ST,Argentina
R. Smallwood,Richard Smallwood,"CM, CDM",64,RCM,England
V. Gendrey,Valentin André Stanislas Gendrey,"RB, RM",74,RES,France
Fer López,Fernando López González,"RW, RM",73,SUB,Spain
E. Ocampo,Édier Ocampo Vidal,"RB, RM",68,SUB,Colombia
M. Harness,Marcus Anthony Myers-Harness,"LM, ST, RM, LW",68,RM,England
Sergio Ortuño,Sergio Ortuño Díaz,CM,68,SUB,Spain
Formosandrinho,Estevão Daniel Formoso Serpa,"ST, CAM",75,SUB,Brazil
Y. Borges Sanches,Yvandro Borges Sanches,"LW, LM",63,SUB,Luxembourg
S. Adamyan,Sargis AdamyanՍարգիս Ադամյան,"ST, CAM, LM, CM",67,RES,Armenia
Manu Sánchez,Manuel Sánchez de la Peña,"LB, LM",75,LB,Spain
L. Sirch,Luca Sirch,"CB, CDM",71,RCB,Germany
O. El Azzouzi,Oussama El Azzouziأسامة العزوزي,"CDM, CM",68,SUB,Morocco
Li Ang,Li Ang李昂,"CB, LB",62,SUB,China PR
N. Kandil,Nordine Kandilنور الدين قنديل,"LM, RM, LW",69,SUB,Morocco
Jorge Ortiz,Jorge Ortiz Mendoza,"ST, RM, LM, CAM",64,SUB,Spain
A. Fontanarosa,Alessandro Fontanarosa,"CB, LB, LM",65,SUB,Italy
Pablo Ibáñez,Pablo Ibáñez Lumbreras,"CM, CDM",72,RDM,Spain
C. Neghli,Camiel Neghliكميل نيجلي,"RM, RW",68,RM,Algeria
K. Ackermann,Kevin Ackermann,"CDM, CM",65,LDM,Sweden
S. Ingason,Sverrir Ingi Ingason,CB,75,RCB,Iceland
P. Kammerbauer,Patrick Kammerbauer,"RB, CM, RM",65,RM,Germany
A. Manneh,Abdoulie Manneh,"LW, ST, LM",71,LW,Gambia
L. Rivas,Leonardo Daniel Rivas Conge,"LB, LM",65,LB,Paraguay
R. Alhassane,Abdel Rahim Alhassane Bonkano,"LB, LM",69,LB,Niger
J. Bowery,Jordan Nathaniel Bowery,"CB, RB, LB, RM",63,RCB,England
M. Belkheir,Mouhamed Menaour Belkheir,"RW, ST, RM",70,ST,Algeria
L. Garbutt,Luke Samuel Garbutt,"LB, CB",64,LCB,England
Z. Davitashvili,Zuriko Davitashviliზურიკო დავითაშვილი,"LW, LM",74,LW,Georgia
J. Gyamerah,Jan Kwasi Gyamerah,"RB, LB, RM",68,RB,Germany
G. Milanov,Georgi MilanovГеорги Венциславов Миланов,"RW, CM, RM",66,SUB,Bulgaria
V. Jónsson,Viðar Ari Jónsson,"RM, RB",65,SUB,Iceland
A. Sigurðsson,Arnór Sigurðsson,"LM, LW",69,SUB,Iceland
V. Bondar,Valeriy BondarБондар Валерій Юрійович,"CB, RB, LB",75,RCB,Ukraine
G. Maroni,Gonzalo Maroni,"CAM, ST, CM",70,RES,Argentina
E. Engelhardt,Erik Engelhardt,"ST, CAM",66,ST,Germany
S. Zawadzki,Sean Zawadzki,"CB, CM, CDM",68,CB,United States
Vasco Sousa,Vasco José Cardoso Sousa,"CAM, CM, CDM",69,RES,Portugal
P. Johansson,Piotr Johansson,"RB, RM",67,SUB,Sweden
H. Dalsgaard,Henrik Dalsgaard,CB,70,RCB,Denmark
D. Proper,Dirk Wanner Proper,"CDM, CM",71,RCM,Netherlands
R. Schneider,Randy Schneider,"CM, CAM, CDM",66,CAM,Philippines
C. Watts,Caleb Cassius Watts,"CAM, RM, ST",63,CAM,Australia
M. Benger,Marcel Benger,"CDM, CM",67,SUB,Germany
M. Opondo,Moses Opondo,"CM, RM",64,RES,Uganda
Nuno Moldeiro,Nuno Jorgino Moldeiro Vaz,"LM, LW",70,SUB,Brazil
D. Okereke,David Chidozie Okereke,"ST, LM, LW",74,SUB,Nigeria
E. Osadebe,Emmanuel Ebuka Osadebe,"CM, RB, CAM",60,SUB,Republic of Ireland
A. Perea,Andrés Felipe Perea Castañeda,"CDM, CM",65,SUB,United States
K. De Winter,Koni De Winter,CB,74,SUB,Belgium
G. Infantino,Gino Infantino,"RM, CM, RW",66,RES,Argentina
Kel Perinho,Kel Bruno Pereira Negrão,CB,74,RCB,Brazil
Alam Basteirinho,Marcos Alam Bastos Domingues,"CAM, RM, CM",72,RM,Brazil
C. Drameh,Cody Callum Pierre Drameh,"RB, LB, RM",69,RB,England
J. Šutalo,Josip Šutalo,CB,78,SUB,Croatia
J. Andrada,Juan Alberto Andrada,"CM, CDM",67,RES,Argentina
Mikel Rodríguez,Mikel Rodríguez Ulacia,"CM, CAM",65,CAM,Spain
M. Kilman,Maximilian William Kilman,CB,77,CB,England
C. Halkett,Craig Halkett,CB,69,CB,Scotland
A. Mabil,Awer Bul Mabil,"RM, LM, LW, RW",67,RM,Australia
A. Hartigan,Anthony Rhys Hartigan,"CDM, CM",64,CDM,England
N. Mbuku,Nathanaël Mbuku,"RM, ST, RW",70,LS,Congo DR
C. Archer,Cameron Desmond Archer,ST,72,SUB,England
B. Domingues,Brandon Dominguès,"LM, RM, CAM, LW",70,RES,France
T. Harwood-Bellis,Taylor Jay Harwood-Bellis,CB,74,LCB,England
D. Barrea,Daniel Barrea,"LM, RM, ST, LW",68,RES,Argentina
J. Okumu,Joseph Stanley Okumu,CB,73,RCB,Kenya
A. Traoré,Adama Traoré,"LB, LM",61,LB,Côte d'Ivoire
M. Bennett,Mason Kane Bennett,"ST, LM, CAM, LW",64,SUB,England
C. Ligue,Calixte Paul Ligue,"LB, CB, LM",64,SUB,Switzerland
A. Zeqiri,Andi Avdi Zeqiri,ST,72,SUB,Switzerland
E. Nketiah,Edward Keddar Nketiah,ST,74,RES,England
W. Trapp,William Alexander Trapp,"CDM, CM, CB",68,RCM,United States
B. Fox,Benjamin Jake Fox,"CDM, CM",63,SUB,England
J. Manzambi,Johan Manzambi,"CAM, CM, CDM, ST",67,LDM,Switzerland
Gerenabarrena,Beñat Gerenabarrena,"CM, CDM",65,LCM,Spain
J. Mulligan,Josh Mulligan,"RM, CM, RB, RW",64,RCM,Scotland
E. Nuamah,Ernest Nuamah Appiah,"RM, RW",75,RES,Ghana
G. Albarracín,Gustavo Albarracín,CM,64,RES,Argentina
C. Townsend,Conor Stephen Townsend,"LB, LM",68,RES,England
B. Palacios,Byron Efraín Palacios Vélez,ST,71,ST,Ecuador
Xu Xin,Xu Xin徐新,"CDM, CM",64,RDM,China PR
R. Yalçın,Robin Yalçın,"CB, RB, CDM, RM",67,CB,Germany
D. Appiah,Dennis Appiah,"RB, CB, RM",71,SUB,France
S. Kumbedi,Saël Kumbedi Nseke,"RB, RM",72,SUB,France
Caio Milaçar,Caio Bruno Milaçar Kenedy,"CAM, CM",72,CAM,Brazil
Nuno Lisareda,Nuno Caio Lisareda Abravanel,ST,73,SUB,Brazil
N. Corrado,Niccolò Corrado,"LB, LM",68,SUB,Italy
S. Langås,Sondre Klingen Langås,CB,71,SUB,Norway
N. Wassberg,Niklas Jensen Wassberg,"CM, LW, CAM",64,SUB,Norway
Luna,Marcos Luna Ruiz,"RB, RM",70,RB,Spain
K. Mavropanos,Konstantinos MavropanosΚωνσταντίνος Μαυροπάνος,CB,76,SUB,Greece
Juan Iglesias,Juan Antonio Iglesias Sánchez,"RB, LB, RM",74,SUB,Spain
T. Robinet,Thomas Robinet,"CAM, ST, CM",66,SUB,France
A. Osváth,Attila Osváth,"RB, RM",68,,Hungary
J. Benson,Josh Benson,"CM, CDM, CAM",63,SUB,England
I. Akhomach,Ilias Akhomach Chakkourإلياس أخوماش,"RM, RW, LW",74,RES,Morocco
M. Krattenmacher,Maurice Krattenmacher,"CAM, ST, CM",69,LCM,Germany
L. Brunt,Lewis Brunt,"CB, CDM, CM",67,LCB,England
A. Luna,Adrián Nicolás Luna Retamar,"CAM, CM, LM",68,CAM,Uruguay
A. Obando,Javier Agustín Obando,"LM, RM, CM, LW",65,SUB,Argentina
K. Nankervis,Kieran Nankervis,CB,65,LCB,Australia
Jesús Bueno,Jesús Daniel Bueno Áñez,"CM, CDM",65,SUB,Venezuela
S. Hestnes,Simen Hestnes,"CM, CDM",65,RCM,Norway
K. Jackson,Kayden Pastel Dunn Jackson,"ST, RM, RW",66,SUB,England
Zhang Xiuwei,Zhang Xiuwei张修维,"CAM, CM, CDM",62,CAM,China PR
P. Neumann,Phil Yannik Neumann,CB,73,RCB,Germany
F. Meza,Fernando Nicolás Meza,"CB, CDM, RB",72,RCB,Argentina
Mateo Flores,Mateo Flores Lozano,"CDM, CM",66,SUB,Spain
M. Aké,Marley Martin Mickaël Justin Aké,"LM, RM, LW",69,SUB,France
B. O'Neill,Brandon O'Neill,"CM, CDM",61,SUB,Australia
L. Mauragis,Lucas Alexander Mauragis,"LB, LM",64,LB,Australia
Jorge Pascual,Jorge Pascual Medina,"ST, CAM",68,LS,Spain
Yun Il Lok,Il-lok Yun윤일록 尹日录,"RB, LM, ST, LW",63,SUB,Korea Republic
B. Close,Ben Easton Close,"CM, CDM",61,SUB,England
Iker Benito,Iker Benito Sánchez,"LM, RM, LB, LW",69,SUB,Spain
E. Wichne,Eirik Wichne,RB,66,RB,Norway
M. Palacios,Manuel Emilio Palacios Murillo,"LW, ST, RW, LM",66,RS,Colombia
R. Barnett,Ryan Jack Barnett,"RB, RM",66,RB,England
Sergi Guardiola,Sergio Guardiola Navarro,ST,70,ST,Spain
B. Whitfield,Benjamin Michael Whitfield,"RM, CAM, ST, RW",63,SUB,England
A. Blin,Alexis Blin,"CDM, CM",71,SUB,France
T. Cannon,Thomas Christopher Cannon,ST,71,SUB,Republic of Ireland
J. Paterson,Jamie Charles Stuart Paterson,"CAM, LM, LW, CM",68,SUB,England
M. Ellingsen,Martin Skjelbreid Ellingsen,"CDM, CB, CM",65,SUB,Norway
J. Brillante,Joshua Brillante,"CDM, CM, CB",65,RCM,Australia
Conrado,Conrado Buchanelli Holz,"LB, LM",64,SUB,Brazil
R. James,Reece James,"LB, LM, CM",66,LB,England
L. Ritzka,Lars Ritzka,"LB, LM, CB",69,SUB,Germany
T. George,Tyrique George,"LM, RM, ST, LW",71,SUB,England
C. Yüksel,Celil Yüksel,"CDM, CM",67,SUB,Türkiye
M. Al Harbi,Moteb Saad Al Harbiمتعب سعد الحربي,"LB, LM",67,SUB,Saudi Arabia
Liu Yang,Liu Yang刘洋,"LB, LM",66,LB,China PR
D. Ayala,Maximiliano David Ayala,"CDM, CM",69,LDM,Argentina
Y. Titraoui,Yassine Mohammed Titraouiياسين تيطراوي,"CDM, CAM, CM",68,RDM,Algeria
Nacho Martín,Ignacio Martín Gómez,"CDM, CM",68,RDM,Spain
L. Picco,Leonel Marcelo Picco,"CDM, CM, CB",69,LDM,Argentina
D. Sosa,Diego Alejandro Sosa,"LB, LM",68,SUB,Argentina
L. Valzania,Luca Valzania,CM,69,RCM,Italy
S. Lahssaini,Sami Lahssaini,"CM, CDM",64,RCM,Belgium
K. Smith,Korey Alexander Sheridan Smith,"CM, CDM, CAM",64,SUB,England
A. Yiadom,Andrew Kyere Yiadom,"RB, CB, RM",65,SUB,Ghana
R. Matondo,Rabbi Matondo,"LM, LW, ST",69,RES,Wales
Albarrán,Carlos Albarrán Sanz,"RB, LB, RM",68,SUB,Spain
M. Suchomel,Martin Suchomel,"RB, LB, RM",69,SUB,Czechia
V. Misidjan,Virgil Roy Misidjan,"LM, CAM, ST, LW",70,SUB,Suriname
T. Barbieri,Tommaso Barbieri,"RB, RM",69,RES,Italy
Bicho,Javier Fernández Abruñedo,"CAM, CM, LM",65,SUB,Spain
Kim Dong Hyun,Dong-hyeon Kim김동현,"CM, CDM",68,RES,Korea Republic
T. Oberdorf,Tim Christopher Oberdorf,CB,72,RCB,Germany
K. Ortiz,Kevin Ortíz,"CDM, CM",69,SUB,Argentina
Matheus Silva,Matheus de Barros da Silva,"RB, CB, RM",69,RB,Brazil
Javi Sánchez,Javier Sánchez de Felipe,CB,72,SUB,Spain
G. Medel,Gary Alexis Medel Soto,"CB, CDM",71,CDM,Chile
J. Pereyra Díaz,Jorge Rolando Pereyra Díaz,"ST, LW, LM",66,ST,Argentina
R. Broom,Ryan James Broom,"RB, CAM, CM, RM",62,SUB,Wales
A. Lind,Alexander Lind Rasmussen,ST,72,RES,Denmark
N. Neidhart,Nico Neidhart,"RM, RB",66,RM,Germany
D. Yokota,Daisuke Yokota横田 大祐,"CAM, RW, CM",70,SUB,Japan
S. Seddon,Steven Jeffrey Seddon,"LB, LM, LW",64,LB,England
Eduardo,Eduardo de Biasi,"CM, CDM",65,SUB,Brazil
G. Ondoua,Gaël Bella Ondoua,"CDM, CM, CB",67,SUB,Cameroon
I. Hayden,Isaac Scott Hayden,"CDM, CM",69,RES,Jamaica
P. Bravo,Pedro Antonio Bravo Landazuri,CM,67,LCM,Colombia
J. Molumby,Jayson Patrick Molumby,"CDM, CM",70,RDM,Republic of Ireland
A. Fein,Adrian Markus Fein,"CDM, CM, CAM",64,SUB,Germany
L. Lauberbach,Lion Lauberbach,ST,71,RS,Germany
Han Kook Young,Kook-young Han한국영,"CDM, CM",66,SUB,Korea Republic
A. Rrahmani,Albion Rrahmani,ST,73,SUB,Kosovo
A. Majrashi,Ali Majrashiعلي مجرشي,"RB, RM",70,RB,Saudi Arabia
T. Van Den Keybus,Thomas Van den Keybus,"CM, LM, RM, CAM",68,RM,Belgium
Á. Campuzano,Álvaro Marcial Campuzano,"CDM, CM, CB",71,RDM,Paraguay
B. Saller,Benedikt Saller,"LB, RB, RM",66,RES,Germany
Asencio,Raúl Asencio del Rosario,"CB, RB, RM",77,RES,Spain
Otávio Cairinho,Otávio Alberto Cairinho Monteiro,"CB, RB",73,RCB,Brazil
J. Candia,Jhonatan Marcelo Candia Hernández,"ST, RW, RM",68,SUB,Uruguay
D. Soumaré,El Hadji Djibril Soumaré,"CDM, CM",69,SUB,Senegal
J. Sarmiento,Jeremy Leonel Sarmiento Morante,"LM, CAM, LW",70,RES,Ecuador
G. Lapslie,George Robert Lapslie,"CAM, CM",61,SUB,England
D. Zeefuik,Deyovaisio Evan Zeefuik,"LB, RB, RM",69,SUB,Netherlands
M. Minchev,Martin Yankov MinchevМартин Янков Минчев,"ST, LM, LW",67,LW,Bulgaria
E. Tortolero,Edson Alejandro Tortolero Toro,"RM, RW, CAM",68,RW,Venezuela
João Lameira,João Pedro Santos Lameira,"CM, CDM",68,LDM,Portugal
Leandro Andrade,Leandro Livramento Andrade,"RW, CAM, RM",72,RAM,Cabo Verde
J. Braut Brunes,Jonatan Braut Brunes,ST,71,ST,Norway
Aritz Elustondo,Aritz Elustondo Irribaria,"CB, RB",77,SUB,Spain
M. Ali,Mukhtar Abdullahi Aliمختار علي,"CDM, CM",67,LDM,Saudi Arabia
Lee Tae Seok,Tae-seok Lee이태석,"LB, LM",69,LM,Korea Republic
G. Liavas,Georgios Liavas,"CDM, CM",69,SUB,Greece
A. Adeshina,Adetunji Rasaq Adeshina,"CDM, CM",66,SUB,Nigeria
G. Prestianni,Gianluca Prestianni Gross,"RM, CAM, RW",71,SUB,Argentina
S. Humphrys,Stephen Peter Humphrys,"ST, RW, RM, CAM",67,ST,England
V. Mihăilă,Mihai Valentin Mihăilă,"LM, LW",72,LM,Romania
H. Diallo,Habibou Mouhamadou Diallo,ST,72,ST,Senegal
K. Böhnlein,Kristian Böhnlein,"CM, CAM, CDM",64,SUB,Germany
J. Díaz,Juan Carlos Díaz Mena,CM,66,SUB,Colombia
C. Suárez,Carlos Luis Suárez Mendoza,"CDM, CM",64,RES,Venezuela
G. Koyalipou,Goduine Koyalipou,ST,73,SUB,Central African Republic
G. Ambrosino,Giuseppe Ambrosino Di Bruttopilo,"ST, CAM",67,RES,Italy
J. Ceesay,Lars Joseph Ceesay,"RM, RB, RW",67,SUB,Gambia
